outcome,aigc_probability,original_path,review_symlink
FP,0.97412109,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img158957.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000000_score-0.9741_img158957.jpg
FP,0.97460938,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img158970.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000013_score-0.9746_img158970.jpg
FP,0.97949219,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img158971.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000014_score-0.9795_img158971.jpg
FP,0.97460938,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159156.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000199_score-0.9746_img159156.jpg
FP,0.97558594,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159189.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000232_score-0.9756_img159189.jpg
FP,0.97705078,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159425.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000468_score-0.9771_img159425.jpg
FP,0.97802734,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159429.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000472_score-0.9780_img159429.jpg
FP,0.97460938,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159452.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000495_score-0.9746_img159452.jpg
FP,0.97753906,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159578.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000621_score-0.9775_img159578.jpg
FP,0.97705078,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159596.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000639_score-0.9771_img159596.jpg
FP,0.97851562,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159597.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000640_score-0.9785_img159597.jpg
FP,0.97607422,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img159731.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/000774_score-0.9761_img159731.jpg
FP,0.97460938,/home/s/sookmun/aigc-storage/data/competition_reference/raw/Images/Real/coco/coco/coco2017/val2017/img160334.jpg,/home/s/sookmun/aigc-storage/outputs/20260830-222806_dinov3_multiscale_a100_verified_120k_competition_best/competition_reference_clean/error_review_tpr_at_1fpr/false_positives_coco/001376_score-0.9746_img160334.jpg
